code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,57.0,58.0,Points decrease,3.0,2.0,-1.0
AC120,International Business,294.0,209.0,234.0,Points decrease,85.0,60.0,-25.0
AC137,Liberal Arts,271.0,252.0,252.0,Points decrease,19.0,19.0,0.0
CT125,Computing and IT,242.0,220.0,235.0,Points decrease,22.0,7.0,-15.0
CT325,Business,253.0,338.0,,Points decrease,-85.0,,
CM001,Education - Primary Teaching,508.0,484.0,452.0,Points decrease,24.0,56.0,32.0
CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,,421.0,Points decrease,,41.0,
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,528.0,491.0,Points decrease,-15.0,22.0,37.0
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,494.0,492.0,Points decrease,-14.0,-12.0,2.0
CM010,Education Studies,382.0,319.0,317.0,Points decrease,63.0,65.0,2.0
CM020,Early Childhood Education,317.0,327.0,336.0,Points decrease,-10.0,-19.0,-9.0
DB500,Computing,234.0,218.0,242.0,Points decrease,16.0,-8.0,-24.0
DB501,Computing (Cloud Computing),,227.0,326.0,Points decrease,,,-99.0
DB502,Computing (Data Analytics and Big Data),267.0,341.0,269.0,Points decrease,-74.0,-2.0,72.0
DB503,Computing (Software Development),,225.0,242.0,Points decrease,,,-17.0
DB504,Computing (Web and Mobile Technology),,,227.0,Points decrease,,,
DB510,Audio Production and Music Project Management,217.0,234.0,233.0,Points decrease,-17.0,-16.0,1.0
DB512,Business Studies,243.0,218.0,229.0,Points decrease,25.0,14.0,-11.0
DB514,Business Studies (Law),239.0,252.0,269.0,Points decrease,-13.0,-30.0,-17.0
DB515,Business Studies (Human Resource Management),242.0,244.0,225.0,Points decrease,-2.0,17.0,19.0
DB517,Marketing (Event Management),233.0,238.0,226.0,Points decrease,-5.0,7.0,12.0
DB518,Marketing (Digital Media),307.0,,210.0,Points decrease,,97.0,
DB521,Accounting and Finance,243.0,225.0,225.0,Points decrease,18.0,18.0,0.0
DB524,Business (Information Systems),247.0,342.0,402.0,Points decrease,-95.0,-155.0,-60.0
DB525,Marketing (Digital Media and Cloud Computing),288.0,,284.0,Points decrease,,4.0,
DB526,Business (Cloud Computing),244.0,347.0,253.0,Points decrease,-103.0,-9.0,94.0
DB527,Applied Social Care,254.0,234.0,235.0,Points decrease,20.0,19.0,-1.0
DB531,Marketing,288.0,293.0,220.0,Points decrease,-5.0,68.0,73.0
DB562,Psychology,244.0,243.0,208.0,Points decrease,1.0,36.0,35.0
DB566,Social Science,262.0,220.0,216.0,Points decrease,42.0,46.0,4.0
DB567,Film and Creative Media,245.0,218.0,192.0,Points decrease,27.0,53.0,26.0
DB568,Law,254.0,219.0,245.0,Points decrease,35.0,9.0,-26.0
DB569,Business (Psychology),240.0,252.0,279.0,Points decrease,-12.0,-39.0,-27.0
DC001,Education - Early Childhood Education,445.0,440.0,398.0,Points decrease,5.0,47.0,42.0
DC002,Education - Primary Teaching,518.0,488.0,462.0,Points decrease,30.0,56.0,26.0
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,445.0,433.0,Points decrease,44.0,56.0,12.0
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,411.0,357.0,Points decrease,40.0,94.0,54.0
DC009,Arts (Joint Honours) - Humanities,356.0,376.0,347.0,Points decrease,-20.0,9.0,29.0
DC010,Post Primary Teacher Education - Religious Educati,384.0,441.0,386.0,Points decrease,-57.0,-2.0,55.0
DC011,Post Primary Teacher Education - Religious Educati,409.0,412.0,352.0,Points decrease,-3.0,57.0,60.0
DC012,Post Primary Teacher Education - Religious Educati,409.0,378.0,367.0,Points decrease,31.0,42.0,11.0
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,419.0,410.0,Points decrease,-6.0,3.0,9.0
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,419.0,428.0,Points decrease,-108.0,-117.0,-9.0
DC110,Business Studies International,498.0,465.0,440.0,Points decrease,33.0,58.0,25.0
DC111,Business Studies,511.0,488.0,463.0,Points decrease,23.0,48.0,25.0
DC112,Global Business (France),542.0,517.0,495.0,Points decrease,25.0,47.0,22.0
DC113,Global Business (Germany),484.0,462.0,440.0,Points decrease,22.0,44.0,22.0
DC114,Global Business (Spain),544.0,522.0,501.0,Points decrease,22.0,43.0,21.0
DC115,Accounting and Finance,544.0,510.0,487.0,Points decrease,34.0,57.0,23.0
DC116,Global Business (USA),613.0,579.0,578.0,Points decrease,34.0,35.0,1.0
DC117,Aviation Management / Aviation Management with Pil,484.0,476.0,463.0,Points decrease,8.0,21.0,13.0
DC118,Gná agus Gaeilge / Business and Irish,368.0,359.0,357.0,Points decrease,9.0,11.0,2.0
DC119,Global Business (Canada),601.0,564.0,566.0,Points decrease,37.0,35.0,-2.0
DC120,Computing for Business,403.0,357.0,350.0,Points decrease,46.0,53.0,7.0
DC121,Computer Science,475.0,400.0,370.0,Points decrease,75.0,105.0,30.0
DC123,Data Science,501.0,465.0,467.0,Points decrease,36.0,34.0,-2.0
DC126,Actuarial Mathematics,577.0,560.0,520.0,Points decrease,17.0,57.0,40.0
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,532.0,509.0,Points decrease,9.0,32.0,23.0
DC131,Communication Studies,421.0,407.0,400.0,Points decrease,14.0,21.0,7.0
DC132,Journalism,452.0,429.0,401.0,Points decrease,23.0,51.0,28.0
DC133,Multimedia,435.0,411.0,403.0,Points decrease,24.0,32.0,8.0
DC155,Applied Language and Translation Studies,427.0,387.0,371.0,Points decrease,40.0,56.0,16.0
DC161,Analytical Science,498.0,498.0,446.0,Points decrease,0.0,52.0,52.0
DC162,Chemical and Pharmaceutical Sciences,531.0,521.0,488.0,Points decrease,10.0,43.0,33.0
DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,,,Points decrease,,,
DC166,Environmental Science and Technology,423.0,433.0,412.0,Points decrease,-10.0,11.0,21.0
DC168,Genetics and Cell Biology,543.0,512.0,489.0,Points decrease,31.0,54.0,23.0
DC175,Physics General Entry (options),400.0,419.0,,Points decrease,-19.0,,
DC180,Biological Sciences General Entry (Undenominated E,530.0,,,Points decrease,,,
DC181,Biotechnology,530.0,499.0,476.0,Points decrease,31.0,54.0,23.0
DC190,Electronic and Computer Engineering (with choice o,488.0,413.0,391.0,Points decrease,75.0,97.0,22.0
DC193,Mechatronic Engineering,490.0,411.0,404.0,Points decrease,79.0,86.0,7.0
DC194,Sustainable Systems and Energy,476.0,,,Points decrease,,,
DC195,Mechanical and Manufacturing Engineering,500.0,425.0,401.0,Points decrease,75.0,99.0,24.0
DC197,Biomedical Engineering,510.0,423.0,402.0,Points decrease,87.0,108.0,21.0
DC200,Common Entry into Engineering (Undenominated Entry,511.0,422.0,381.0,Points decrease,89.0,130.0,41.0
DC202,Sport Science and Health,511.0,500.0,467.0,Points decrease,11.0,44.0,33.0
DC203,Science Education,462.0,435.0,424.0,Points decrease,27.0,38.0,11.0
DC204,Athletic Therapy and Training,558.0,522.0,484.0,Points decrease,36.0,74.0,38.0
DC205,Physical Education with Biology,565.0,531.0,490.0,Points decrease,34.0,75.0,41.0
DC206,Physical Education with Mathematics,521.0,499.0,443.0,Points decrease,22.0,78.0,56.0
DC207,Psychology and Mathematics,521.0,,,Points decrease,,,
DC208,Psychology,565.0,532.0,509.0,Points decrease,33.0,56.0,23.0
DC209,Health and Society,477.0,465.0,419.0,Points decrease,12.0,58.0,46.0
DC210,Psychology and Disruptive Technologies,506.0,,,Points decrease,,,
DC215,General Nursing,456.0,454.0,414.0,Points decrease,2.0,42.0,40.0
DC216,Mental Health Nursing,420.0,418.0,368.0,Points decrease,2.0,52.0,50.0
DC217,Intellectual Disability Nursing,382.0,370.0,347.0,Points decrease,12.0,35.0,23.0
DC218,Children`s and General Nursing (Integrated),521.0,500.0,467.0,Points decrease,21.0,54.0,33.0
DC230,Economics  Politics and Law,431.0,435.0,400.0,Points decrease,-4.0,31.0,35.0
DC231,International Relations,398.0,397.0,387.0,Points decrease,1.0,11.0,10.0
DC232,Law and Society (BCL),469.0,466.0,453.0,Points decrease,3.0,16.0,13.0
DC235,Education and Training - Daytime and Flexible Deli,302.0,309.0,307.0,Points decrease,-7.0,-5.0,2.0
DC238,Social Sciences and Cultural Innovation,387.0,377.0,358.0,Points decrease,10.0,29.0,19.0
DC240,Marketing  Innovation and Technology,499.0,476.0,451.0,Points decrease,23.0,48.0,25.0
DC241,Digital Business and Innovation,509.0,,,Points decrease,,,
DC291,Arts (Joint Honours) - Media Studies,350.0,376.0,349.0,Points decrease,-26.0,1.0,27.0
DC292,Arts (Joint Honours) - Law,400.0,403.0,356.0,Points decrease,-3.0,44.0,47.0
DC293,Arts (Joint Honours) - International Languages,379.0,377.0,369.0,Points decrease,2.0,10.0,8.0
DC294,Climate and Environmental Sustainability,475.0,,,Points decrease,,,
DC295,Arts (Joint Honours) - Politics,349.0,376.0,348.0,Points decrease,-27.0,1.0,28.0
DL822,Arts Management,254.0,229.0,209.0,Points decrease,25.0,45.0,20.0
DL823,Business Management,220.0,235.0,260.0,Points decrease,-15.0,-40.0,-25.0
DL825,Applied Psychology,418.0,379.0,349.0,Points decrease,39.0,69.0,30.0
DL826,Graphic Design,591.0,855.0,736.0,Points decrease,-264.0,-145.0,119.0
DL827,Art,574.0,572.0,583.0,Points decrease,2.0,-9.0,-11.0
DL832,Animation,989.0,920.0,855.0,Points decrease,69.0,134.0,65.0
DL833,Photography and Visual Media,671.0,650.0,636.0,Points decrease,21.0,35.0,14.0
DL836,Creative Computing,235.0,219.0,217.0,Points decrease,16.0,18.0,2.0
DL837,New Media Studies,298.0,201.0,290.0,Points decrease,97.0,8.0,-89.0
DL838,Creative Music Production,713.0,754.0,746.0,Points decrease,-41.0,-33.0,8.0
DL839,Interaction and User Experience Design,757.0,683.0,,Points decrease,74.0,,
DL840,Digital Marketing,210.0,228.0,,Points decrease,-18.0,,
DL841,English and Equality Studies,277.0,276.0,,Points decrease,1.0,,
DL843,Film,987.0,,,Points decrease,,,
DL844,Television,566.0,,,Points decrease,,,
DL845,Design for Film (degree options),628.0,,,Points decrease,,,
GC200,Business,269.0,252.0,269.0,Points decrease,17.0,0.0,-17.0
GC201,Accounting and Finance,260.0,303.0,251.0,Points decrease,-43.0,9.0,52.0
GC230,Computing Science,300.0,335.0,228.0,Points decrease,-35.0,72.0,107.0
GC300,Business,264.0,429.0,251.0,Points decrease,-165.0,13.0,178.0
GC301,Accounting and Finance,,253.0,307.0,Points decrease,,,-54.0
GC302,Business - HRM,377.0,,269.0,Points decrease,,108.0,
GC307,Business (Marketing),289.0,,,Points decrease,,,
GC400,Business,250.0,248.0,246.0,Points decrease,2.0,4.0,2.0
GC401,Accounting and Finance,242.0,240.0,181.0,Points decrease,2.0,61.0,59.0
GC402,Business (HRM),,264.0,217.0,Points decrease,,,47.0
GC403,Law,245.0,244.0,225.0,Points decrease,1.0,20.0,19.0
GC407,Business (Marketing),264.0,280.0,246.0,Points decrease,-16.0,18.0,34.0
GC430,Computing Science,251.0,252.0,217.0,Points decrease,-1.0,34.0,35.0
GC450,Communications and Media Production,225.0,254.0,227.0,Points decrease,-29.0,-2.0,27.0
GC462,Design Communication (portfolio),300.0,,,Points decrease,,,
GC489,Interior Architecture (portfolio),288.0,254.0,267.0,Points decrease,34.0,21.0,-13.0
GC494,Fashion Design (portfolio),351.0,337.0,,Points decrease,14.0,,
BY001,Business,210.0,,,Points decrease,,,
ID001,Accounting and Finance,,203.0,229.0,Points decrease,,,-26.0
ID002,Business Studies,,294.0,285.0,Points decrease,,,9.0
AD101,First Year Art and Design (Common Entry portfolio),554.0,,0.0,Points decrease,,554.0,
