,code,title,pointsR1,pointsR2
406,TU942,Culinaryrts,252.0,
407,TU943,CulinaryEntrepreneurship,261.0,
408,TU944,CulinaryScience,336.0,
409,TU951,InternationalHospitalityandTourismManagement,244.0,
410,TU952,InternationalHospitalityManagement,309.0,
411,TU953,TourismandDigitalMarketing,308.0,
412,TU954,EventManagement,326.0,
413,TU955,SportsandLeisureManagement,275.0,
414,TU961,CommercialModernMusic(BIMM-assessment/auditio,536.0,536.0
415,TU962,Drama(Performanceaudition),448.0,
416,TU963,Music(audition),364.0,
417,TU965,InternationalBusinessandLanguages,357.0,
418,TU967,LanguagesandInternationalTourism,298.0,
419,TU973,Design-VisualCommunication(portfolio),700.0,
420,TU974,Finert(portfolio),549.0,
421,TU975,InteriorDesign(portfolio),544.0,
422,TU976,Photography(portfolio),700.0,
423,TU978,CreativeIndustriesandVisualCulture,299.0,
424,TU981,CreativeDigitalMedia,280.0,
425,TU982,MediaProductionandDigitalrts,369.0,
426,TU983,FilmandBroadcasting,462.0,453.0
427,TU984,GameDesign,414.0,
428,TU985,Journalism,367.0,
429,TU989,EarlyChildhoodCareandEducation(campusoptions,270.0,
430,TU991,ppliedSocialStudiesinSocialCare,326.0,
431,TU992,CommunityDevelopmentandYouthWork,251.0,
432,TU995,EarlyChildhoodEducation,378.0,
433,TU996,SocialCare,407.0,
434,TU997,ppliedSocialCare,320.0,
435,TR002,Music,508.0,477.0
436,TR003,History,552.0,543.0
437,TR004,Law,590.0,589.0
438,TR005,Philosophy,510.0,497.0
439,TR006,Psychology,601.0,590.0
440,TR007,ClinicalSpeechandLanguageStudies,564.0,
441,TR009,MusicEducation,496.0,486.0
442,TR015,PhilosophyPoliticalScienceEconomicsandSocio,613.0,613.0
443,TR016,DeafStudies,389.0,
444,TR018,LawandFrench,602.0,602.0
445,TR019,LawandGerman,577.0,567.0
446,TR021,ClassicsncientHistoryandrchaeology,467.0,462.0
447,TR022,EarlyandModernIrish,377.0,
448,TR023,EnglishStudies,546.0,541.0
449,TR024,EuropeanStudies,566.0,
450,TR025,DramaandTheatreStudies,543.0,519.0
451,TR028,ncientandMedievalHistoryandCulture,498.0,463.0
452,TR031,Mathematics,579.0,578.0
453,TR032,Engineering,556.0,555.0
454,TR033,ComputerScience,566.0,549.0
455,TR034,ManagementScienceandInformationSystemsStudies,625.0,625.0
456,TR035,TheoreticalPhysics,590.0,589.0
457,TR038,EngineeringwithManagement,589.0,589.0
458,TR039,ComputerScienceLinguisticsandaLanguage,443.0,
459,TR040,MiddleEasternandEuropeanLanguagesandCultures,520.0,499.0
460,TR041,Religion,417.0,
461,TR042,Film,531.0,522.0
462,TR043,Historyofrtandrchitecture,498.0,486.0
463,TR051,Medicine(HPTrequired),743.0,743.0
464,TR052,DentalScience,625.0,625.0
465,TR053,Physiotherapy,590.0,
466,TR054,OccupationalTherapy,578.0,577.0
467,TR055,RadiationTherapy,577.0,566.0
468,TR056,HumanHealthandDisease,601.0,
469,TR060,BiologicalandBiomedicalSciences,578.0,577.0
470,TR061,ChemicalSciences,558.0,554.0
471,TR062,GeographyandGeoscience,495.0,
472,TR063,PhysicalSciences,554.0,543.0
473,TR064,EnvironmentalScienceandEngineering,555.0,
474,TR072,Pharmacy,613.0,613.0
475,TR080,GlobalBusiness,613.0,
476,TR081,BusinessEconomicandSocialStudies(BESS),577.0,567.0
477,TR084,SocialStudies(SocialWork),497.0,487.0
478,TR085,BusinessStudiesandFrench,564.0,
479,TR086,BusinessStudiesandGerman,530.0,
480,TR087,BusinessStudiesandRussian,487.0,
481,TR089,BusinessStudiesandPolish,391.0,
482,TR090,BusinessStudiesandSpanish,566.0,
483,TR091,GeneralNursing(MeathandStJames`s),462.0,456.0
484,TR093,GeneralNursing(delaideSchoolofNursing),473.0,
485,TR095,MentalHealthNursing,442.0,
486,TR097,IntellectualDisabilityNursing,412.0,410.0
487,TR911,Children`sandGeneralNursing(Integrated),531.0,
488,TR913,Midwifery,521.0,
489,DN100,rchitecture,555.0,
490,DN120,Landscaperchitecture,463.0,435.0
491,DN130,CityPlanningandEnvironmentalPolicy,445.0,424.0
492,DN150,Engineering(CommonEntry),565.0,
493,DN200,Science(options),577.0,567.0
494,DN201,ComputerScience(CommonEntry),554.0,549.0
495,DN230,ctuarialandFinancialStudies,613.0,613.0
496,DN240,Sustainability,510.0,
497,DN250,griculturalScience(options),454.0,444.0
498,DN261,FoodScience,531.0,
499,DN262,HumanNutrition,566.0,
500,DN300,VeterinaryMedicine-UndergraduateEntry,601.0,
501,DN301,VeterinaryMedicine-GraduateEntry(GMSTrequi,,
502,DN310,VeterinaryNursing,521.0,509.0
503,DN400,Medicine-UndergraduateEntry(HPTrequired),743.0,
504,DN401,Medicine-GraduateEntry(GMSTrequired),61.0,
505,DN410,Radiography,566.0,566.0
506,DN411,Radiography-GraduateEntry,,
507,DN420,Physiotherapy,601.0,601.0
508,DN425,HealthandPerformanceScience,544.0,543.0
509,DN430,SportandExerciseManagement,484.0,476.0
510,DN440,BiomedicalHealthandLifeSciences,613.0,613.0
511,DN450,GeneralNursing,462.0,
512,DN451,Children`sandGeneralNursing(Integrated),533.0,
513,DN452,Midwifery,510.0,509.0
514,DN453,MentalHealthNursing,442.0,
515,DN520,JointHonours(options),381.0,378.0
516,DN530,Humanities(options),397.0,388.0
517,DN541,ModernLanguages(options),320.0,
518,DN600,Law(options),576.0,567.0
519,DN610,BusinessandLaw,573.0,567.0
520,DN650,Commerce,555.0,
521,DN660,CommerceInternational(options),555.0,554.0
522,DN670,EconomicsandFinance,625.0,625.0
523,DN700,SocialSciences(options),475.0,474.0
524,DN710,Economics,534.0,532.0
525,DN720,Psychology,566.0,564.0
526,DN750,SocialPolicyandSociology,421.0,
527,DK810,ccountingandFinance,307.0,307.0
528,DK816,BusinessStudies,301.0,301.0
529,DK820,ComputinginGamesDevelopment,309.0,309.0
530,DK821,ComputinginSoftwareDevelopment,320.0,316.0
531,DK822,ugmentedandVirtualReality,320.0,320.0
532,DK830,BuildingSurveying,305.0,
533,DK831,rchitecturalTechnology,368.0,314.0
534,DK832,ConstructionManagement,358.0,305.0
535,DK843,Engineering(CommonEntry),404.0,391.0
536,DK844,MechanicalEngineering,336.0,336.0
537,DK845,ElectricalandElectronicEngineering,331.0,331.0
538,DK846,CivilEngineering,371.0,371.0
539,DK850,InternationalTourismManagement,303.0,303.0
540,DK861,rts,302.0,302.0
541,DK862,SocialCare,322.0,319.0
542,DK863,CreativeMedia,336.0,320.0
543,DK864,FilmandTelevisionProduction,308.0,
544,DK865,udioandMusicProduction,352.0,
545,DK870,GeneralNursing,440.0,440.0
546,DK872,IntellectualDisabilityNursing,367.0,366.0
547,DK874,MentalHealthNursing,398.0,
548,DK876,EarlyChildhoodStudies,300.0,
549,DK877,Midwifery,482.0,477.0
550,DK880,HealthandPhysicalctivity,301.0,
551,DK882,griculture(wardoptions),342.0,
552,DK883,Science(wardoptions),373.0,368.0
553,DK884,Sustainablegriculture,348.0,
554,DK885,gri-FoodProduction,,
555,DK886,BiopharmaceuticalScience,379.0,
556,DK887,EnvironmentalScience,377.0,
557,G181,ccounting,303.0,
558,G182,Business,285.0,
559,G183,BusinessInformationSystems,298.0,
560,G184,MarketingandSales,300.0,
561,G185,FinanceandEconomics,318.0,
562,G186,BusinesswithEntrepreneurship,287.0,
563,G187,RuralEnterpriseandgri-Business,291.0,
564,G281,FilmandDocumentary,310.0,301.0
565,G282,HeritageStudies,252.0,
566,G283,Contemporaryrt(portfolio),790.0,
567,G284,Design,331.0,
568,G285,Education(rtDesignandGraphics),406.0,
569,G380,InternationalHotelManagement,218.0,
570,G381,InternationalTourismManagement,252.0,
571,G382,CulinaryandGastronomicScience,235.0,
572,G384,EventManagementwithPublicRelations,230.0,
573,G480,ConstructionManagement,302.0,
574,G482,uantitySurveyingandConstructionEconomics,304.0,
575,G483,rchitecturalTechnology,281.0,273.0
576,G484,CivilEngineering,377.0,
577,G580,SoftwareandElectronicEngineering,300.0,
578,G680,MechanicalEngineering,400.0,
579,G681,EnergyEngineering,312.0,
