code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
CW138,,430.0,423.0,,,7.0,,,Increase,Course for 1 year only,Course for 1 year only
CW148,,388.0,379.0,,,9.0,,,Increase,Course for 1 year only,Course for 1 year only
CW188,,451.0,451.0,454.0,,0.0,-3.0,-3.0,No change,Decrease,Decrease
CW208,,272.0,279.0,281.0,,-7.0,-9.0,-2.0,Decrease,Decrease,Decrease
CW238,,295.0,297.0,300.0,,-2.0,-5.0,-3.0,Decrease,Decrease,Decrease
CW248,,293.0,285.0,307.0,,8.0,-14.0,-22.0,Increase,Decrease,Decrease
CW258,,292.0,293.0,300.0,,-1.0,-8.0,-7.0,Decrease,Decrease,Decrease
CW268,,291.0,287.0,274.0,,4.0,17.0,13.0,Increase,Increase,Increase
CW438,,260.0,272.0,271.0,,-12.0,-11.0,1.0,Decrease,Increase,Decrease
CW468,,291.0,262.0,252.0,,29.0,39.0,10.0,Increase,Increase,Increase
CW478,,465.0,433.0,348.0,,32.0,117.0,85.0,Increase,Increase,Increase
CW548,,330.0,321.0,310.0,,9.0,20.0,11.0,Increase,Increase,Increase
CW558,,280.0,280.0,279.0,,0.0,1.0,1.0,No change,Increase,Increase
CW568,,371.0,380.0,366.0,,-9.0,5.0,14.0,Decrease,Increase,Increase
CW578,,318.0,325.0,327.0,,-7.0,-9.0,-2.0,Decrease,Decrease,Decrease
CW708,,292.0,302.0,298.0,,-10.0,-6.0,4.0,Decrease,Increase,Decrease
CW728,,246.0,252.0,286.0,,-6.0,-40.0,-34.0,Decrease,Decrease,Decrease
CW748,,290.0,270.0,265.0,,20.0,25.0,5.0,Increase,Increase,Increase
CW758,,360.0,336.0,290.0,,24.0,70.0,46.0,Increase,Increase,Increase
CW808,,247.0,251.0,248.0,,-4.0,-1.0,3.0,Decrease,Increase,Decrease
CW848,,269.0,254.0,279.0,,15.0,-10.0,-25.0,Increase,Decrease,Decrease
